It's so quiet;Björk;Post
Possibly maybe;Björk;Post
The modern things;Björk;Post
You've been flirting again;Björk;Post
Atlantic city;Bruce Springsteen;Greatest hits
Badlands;Bruce Springsteen;Greatest hits
Better days;Bruce Springsteen;Greatest hits
Blood brothers;Bruce Springsteen;Greatest hits
Born in the USA;Bruce Springsteen;Greatest hits
Born to run;Bruce Springsteen;Greatest hits
Brilliant disguise;Bruce Springsteen;Greatest hits
Dancing in the dark;Bruce Springsteen;Greatest hits
Glory days;Bruce Springsteen;Greatest hits
Human touch;Bruce Springsteen;Greatest hits
Hungry heart;Bruce Springsteen;Greatest hits
Murder incorporated;Bruce Springsteen;Greatest hits
My hometown;Bruce Springsteen;Greatest hits
Secret garden;Bruce Springsteen;Greatest hits
Streets of Philadelphia;Bruce Springsteen;Greatest hits
The river;Bruce Springsteen;Greatest hits
This hard land;Bruce Springsteen;Greatest hits
Thunder road;Bruce Springsteen;Greatest hits
Father n Son;Cat Stevens;
And I love her;Ceccarelli trio;3 around the 4
Can't buy me love;Ceccarelli trio;3 around the 4
Day tripper;Ceccarelli trio;3 around the 4
Eleanore rigby-Come together;Ceccarelli trio;3 around the 4
Fool on the hill;Ceccarelli trio;3 around the 4
Lady madona;Ceccarelli trio;3 around the 4
Michelle;Ceccarelli trio;3 around the 4
Norwegian wood;Ceccarelli trio;3 around the 4
With a little from my friends;Ceccarelli trio;3 around the 4
Yesterday;Ceccarelli trio;3 around the 4
Aimé;Chanson plus bifluorée;
Au bilboquet des planètes;Chanson plus bifluorée;
Boys;Chanson plus bifluorée;
Constat;Chanson plus bifluorée;
Gymnastique;Chanson plus bifluorée;
Honte à la trompette;Chanson plus bifluorée;
Jour ordinaire;Chanson plus bifluorée;
La fin du cuivre;Chanson plus bifluorée;
Laine en cévennes;Chanson plus bifluorée;
Le commerçant des rues (légume;Chanson plus bifluorée;
Le meilleur moment de la journ;Chanson plus bifluorée;
Les femmes des copains;Chanson plus bifluorée;
Les pas;Chanson plus bifluorée;
L'imparfait du subjonctif;Chanson plus bifluorée;
Qui est là;Chanson plus bifluorée;
Un rien me fait chanter;Chanson plus bifluorée;
Chanteur inconnu;Chanson plus bifluorée;Live 90
Général à vendre;Chanson plus bifluorée;Live 90
Ipo i taï taï yé 1;Chanson plus bifluorée;Live 90
Ipo i taï taï yé 2;Chanson plus bifluorée;Live 90
Ipo i taï taï yé 3;Chanson plus bifluorée;Live 90
La boudeuse;Chanson plus bifluorée;Live 90
Le moteur à explosion;Chanson plus bifluorée;Live 90
Le mystère des voix du gard;Chanson plus bifluorée;Live 90
Le prince de l'amûr;Chanson plus bifluorée;Live 90
L'Internationale II;Chanson plus bifluorée;Live 90
L'internationale;Chanson plus bifluorée;Live 90
Marions les filles;Chanson plus bifluorée;Live 90
Perfectionniste;Chanson plus bifluorée;Live 90
Petit pasqua noël;Chanson plus bifluorée;Live 90
Quand un soldat;Chanson plus bifluorée;Live 90
Repas boogie wouah;Chanson plus bifluorée;Live 90
Toi;Chanson plus bifluorée;Live 90
An oscar for treadwell - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
An oscar for treadwell;Charlie Parker & Dizzy Gillesp;Bird and Diz
Bloomdido;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Leap frog;Charlie Parker & Dizzy Gillesp;Bird and Diz
Mohawk - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Mohawk;Charlie Parker & Dizzy Gillesp;Bird and Diz
My melancholy baby - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
My melancholy baby;Charlie Parker & Dizzy Gillesp;Bird and Diz
Relaxin' with lee - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Relaxin' with lee - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Relaxin' with lee - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Relaxin' with lee - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Relaxin' with lee - take;Charlie Parker & Dizzy Gillesp;Bird and Diz
Relaxin' with lee;Charlie Parker & Dizzy Gillesp;Bird and Diz
A night in tunisisa;Charlie Parker;
April in Paris;Charlie Parker;
Bebop;Charlie Parker;
Bird feathers;Charlie Parker;
Bird of paradise;Charlie Parker;
Bird's nest;Charlie Parker;
Bongo beep;Charlie Parker;
Bongo bop;Charlie Parker;
Carvin' the bird;Charlie Parker;
Cheers;Charlie Parker;
Cool blues;Charlie Parker;
Dark shadows;Charlie Parker;
Dewey square;Charlie Parker;
Dexterity;Charlie Parker;
Dizzy Atmosphrere;Charlie Parker;
Don't blame me;Charlie Parker;
Drifting on a reed;Charlie Parker;
Embraceable you;Charlie Parker;
Groovin'high;Charlie Parker;
Happy bird blues;Charlie Parker;
Home cooking;Charlie Parker;
How deep is the ocean;Charlie Parker;
Klact-oveededs-teine;Charlie Parker;
Ko-ko;Charlie Parker;
Little Willie leaps or 52nd st;Charlie Parker;
Loverman;Charlie Parker;
Max making wax;Charlie Parker;
Moose the mooche or Lullaby of;Charlie Parker;
My old flame;Charlie Parker;
Ornithology;Charlie Parker;
Out of nowhere;Charlie Parker;
Quasimodo;Charlie Parker;
Relaxin' at the camarillo;Charlie Parker;
Round about midnight;Charlie Parker;
Scrapple form the apple;Charlie Parker;
Stupendous;Charlie Parker;
The gypsy;Charlie Parker;
The hymn;Charlie Parker;
This is always;Charlie Parker;
Yardbird suite;Charlie Parker;
C'est bon ça;Chlorate;
Fire farmer fusion;Chlorate;
La revanche;Chlorate;
La skafia;Chlorate;
Tubthumping;Chumbawamba;
Jardin sous la pluie;Claude Debussy;Estampes
La soirée dans Grenade;Claude Debussy;Estampes
Pagode;Claude Debussy;Estampes
L'isle joyeuse;Claude Debussy;
Ami chemin;Claude Nougaro;
Bleu blanc blues;Claude Nougaro;
Comme une piaf;Claude Nougaro;
Dansez sur moi;Claude Nougaro;
Ile de ré;Claude Nougaro;
Je suis sous;Claude Nougaro;
La pluie fait des claquettes;Claude Nougaro;
Le coq et la pendule;Claude Nougaro;
Locomotive d'or;Claude Nougaro;
Marcia martienne;Claude Nougaro;
Nobody knows;Claude Nougaro;
Rimes;Claude Nougaro;
Sing sing song;Claude Nougaro;
Tu verras;Claude Nougaro;
Une petite fille;Claude Nougaro;
Un été;Claude Nougaro;
All of me;Count Basie;
Bady, don't tell on me;Count Basie;
Basie boogie;Count Basie;
Blow top;Count Basie;
Dickie's dream;Count Basie;
Down, down, down;Count Basie;
Easy does it;Count Basie;
Fancy meeting you;Count Basie;
Goin' to Chicago blues;Count Basie;
Gone with 'what' wind;Count Basie;
How long blues;Count Basie;
I left my baby;Count Basie;
I'm tired of waiting for you;Count Basie;
I never knew;Count Basie;
Jump for me;Count Basie;
Lester leaps in;Count Basie;
Let me see;Count Basie;
Live and love tonight;Count Basie;
Lonesomme miss pretty;Count Basie;
Louisiana;Count Basie;
Love me or leave me;Count Basie;
Miss thing (part II);Count Basie;
Miss thing (part I);Count Basie;
My old flame;Count Basie;
Nobody knows;Count Basie;
Oh, lady be good;Count Basie;
One o'clock jump;Count Basie;
Pound cake;Count Basie;
Rock-a-bye basie;Count Basie;
Super chief;Count Basie;
Take me back baby;Count Basie;
Taxi war dance;Count Basie;
The apple jump;Count Basie;
The devil & the deep blue sea;Count Basie;
Tickle toe;Count Basie;
Tom thumb;Count Basie;
Tune down shuffle;Count Basie;
Twelfth street rag;Count Basie;
Volcano;Count Basie;
You betcha my life;Count Basie;
Black Night;Deep Purple;Live at the Olympia
Cascades, I'm not your lover;Deep Purple;Live at the Olympia
Fireball;Deep Purple;Live at the Olympia
Hey cisco;Deep Purple;Live at the Olympia
Highway star;Deep Purple;Live at the Olympia
Maybe I'm a leo;Deep Purple;Live at the Olympia
No one came;Deep Purple;Live at the Olympia
Perfect Strangers;Deep Purple;Live at the Olympia
Pictures of home;Deep Purple;Live at the Olympia
Rosa's cantina;Deep Purple;Live at the Olympia
Smoke on the water;Deep Purple;Live at the Olympia
Sometimes I feel like screamin;Deep Purple;Live at the Olympia
Speed king;Deep Purple;Live at the Olympia
Ted the mechanic;Deep Purple;Live at the Olympia
The purpendicular waltz;Deep Purple;Live at the Olympia
When a blind man cries;Deep Purple;Live at the Olympia
Woman from Tokyo;Deep Purple;Live at the Olympia
Approche-toi;Dick Annegarn;Approche-toi
Attila joszeph;Dick Annegarn;Approche-toi
Buvant seul;Dick Annegarn;Approche-toi
C'est dans les rêves;Dick Annegarn;Approche-toi
Crépuscule;Dick Annegarn;Approche-toi
Il pleut;Dick Annegarn;Approche-toi
Les tchèques;Dick Annegarn;Approche-toi
Orbre;Dick Annegarn;Approche-toi
Rabbi Jésus;Dick Annegarn;Approche-toi
Send my body home;Dick Annegarn;Approche-toi
Travail trop cher;Dick Annegarn;Approche-toi
Tu mènes ta vie;Dick Annegarn;Approche-toi
Agostinho;Dick Annegarn;Ullegarra
Barbotant;Dick Annegarn;Ullegarra
Est-ce que c'est loin, dis;Dick Annegarn;Ullegarra
Evanesca;Dick Annegarn;Ullegarra
Informol;Dick Annegarn;Ullegarra
Le traversin;Dick Annegarn;Ullegarra
Maudit mal;Dick Annegarn;Ullegarra
Tchernobyl blues;Dick Annegarn;Ullegarra
To know you;Dick Annegarn;Ullegarra
Une ballade;Dick Annegarn;Ullegarra
Xilinji;Dick Annegarn;Ullegarra
Calling Elvis;Dire Straits;Basel'92
Heavy fuel;Dire Straits;Basel'92
On every street;Dire Straits;Basel'92
Sultans of swing;Dire Straits;Basel'92
Telegraph road;Dire Straits;Basel'92
The bug;Dire Straits;Basel'92
Walk of life;Dire Straits;Basel'92
Your lastest trick;Dire Straits;Basel'92
Brothers in arms;Dire Straits;Money for nothing
Down to the waterline;Dire Straits;Money for nothing
Money for nothing;Dire Straits;Money for nothing
Portobello belle (live);Dire Straits;Money for nothing
Private investigations;Dire Straits;Money for nothing
Romeo and Juliet;Dire Straits;Money for nothing
Sultans of swing;Dire Straits;Money for nothing
Telegraph road (live remix);Dire Straits;Money for nothing
Tunnel of love;Dire Straits;Money for nothing
Twisting by the pool (remix);Dire Straits;Money for nothing
Walk of life;Dire Straits;Money for nothing
Where do you think y're going;Dire Straits;Money for nothing
Calling Elvis;Dire Straits;On every street
Fade to black;Dire Straits;On every street
Heavy fuel;Dire Straits;On every street
How long;Dire Straits;On every street
Iron hand;Dire Straits;On every street
On every street;Dire Straits;On every street
Parties;Dire Straits;On every street
Planet of new orleans;Dire Straits;On every street
The bug;Dire Straits;On every street
Ticket to heaven;Dire Straits;On every street
When it comes to you;Dire Straits;On every street
You and your friend;Dire Straits;On every street
Brothers in arms;Dire Straits;On the night
Calling Elvis;Dire Straits;On the night
Heavy fuel;Dire Straits;On the night
Money for nothing;Dire Straits;On the night
On every street;Dire Straits;On the night
Private investigations;Dire Straits;On the night
Romeo and Juliet;Dire Straits;On the night
Walk of live;Dire Straits;On the night
You and your friends;Dire Straits;On the night
Your lastest trick;Dire Straits;On the night
Private investigation;Dire Straits;
Tears;Dream Theater;
To live forever;Dream Theater;
Winter;Dream Theater;
Across the track blues;Duke Ellington;
All too soon;Duke Ellington;
Black and tan fantasy;Duke Ellington;
Caravan;Duke Ellington;
Chloe;Duke Ellington;
Clarinet lament;Duke Ellington;
Cotton club stomp;Duke Ellington;
Country gal;Duke Ellington;
Creole love call;Duke Ellington;
Crescendo in blue;Duke Ellington;
Delta serenade;Duke Ellington;
Diminuendo in blue;Duke Ellington;
Do nothin' till you hear from;Duke Ellington;
East st. louis toodle-oo;Duke Ellington;
Echoes of Harlem;Duke Ellington;
Echoes of the jungle;Duke Ellington;
Harlem airshaft;Duke Ellington;
Harlem speaks;Duke Ellington;
I got it bad and that ain't g;Duke Ellington;
In a sentimal mood;Duke Ellington;
Jungle nights in Harlem;Duke Ellington;
Just a-setting and a-rockin';Duke Ellington;
Ko-ko;Duke Ellington;
Merry go-round;Duke Ellington;
Mood indigo;Duke Ellington;
Open house;Duke Ellington;
Perdido;Duke Ellington;
Prelude to a kiss;Duke Ellington;
Rockin'in rhythm;Duke Ellington;
Saratoga swing;Duke Ellington;
Saturday night function;Duke Ellington;
Sepia Panorama;Duke Ellington;
Solitude;Duke Ellington;
Sophisticated lady;Duke Ellington;
Soul call;Duke Ellington;
Take the 'A' train;Duke Ellington;
The 'C' jam blues;Duke Ellington;
The hawk talks;Duke Ellington;
The mooche;Duke Ellington;
Things ain't what they used t;Duke Ellington;
Save Tonight;Eagle-Eye Cherry;
A crédit et en stéréo;Eddy Mitchell;Tout Eddy
Alice;Eddy Mitchell;Tout Eddy
Be bop a lula (live);Eddy Mitchell;Tout Eddy
Bye bye prêcheur;Eddy Mitchell;Tout Eddy
C'est un rocker;Eddy Mitchell;Tout Eddy
Comme quand j'étais môme;Eddy Mitchell;Tout Eddy
Couleur menthe à l'eau;Eddy Mitchell;Tout Eddy
De la musique;Eddy Mitchell;Tout Eddy
Et la voix d'Elvis;Eddy Mitchell;Tout Eddy
Et s'il n'en reste qu'un;Eddy Mitchell;Tout Eddy
Fauché;Eddy Mitchell;Tout Eddy
Happy birthday rock'n roll;Eddy Mitchell;Tout Eddy
Il ne rentre pas ce soir;Eddy Mitchell;Tout Eddy
J'ai oublié de l'oublier;Eddy Mitchell;Tout Eddy
J'avais deux amis;Eddy Mitchell;Tout Eddy
Je n'aime que toi;Eddy Mitchell;Tout Eddy
Je vais craquer bientôt (live);Eddy Mitchell;Tout Eddy
J'vous dérange;Eddy Mitchell;Tout Eddy
La dernière séance;Eddy Mitchell;Tout Eddy
La fille du motel;Eddy Mitchell;Tout Eddy
La peau d'un autre;Eddy Mitchell;Tout Eddy
Lèche-bottes blues;Eddy Mitchell;Tout Eddy
Le cimetière des éléphants;Eddy Mitchell;Tout Eddy
L'épopé du rock;Eddy Mitchell;Tout Eddy
Manque de toi;Eddy Mitchell;Tout Eddy
M'man;Eddy Mitchell;Tout Eddy
Nashville ou belleville;Eddy Mitchell;Tout Eddy
Pas de boogie woogie;Eddy Mitchell;Tout Eddy
Pauvre baby doll;Eddy Mitchell;Tout Eddy
Si tu n'étais pas mon frère;Eddy Mitchell;Tout Eddy
Société anonyme;Eddy Mitchell;Tout Eddy
Sur la route de Memphis;Eddy Mitchell;Tout Eddy
Toujours un coin qui me rappel;Eddy Mitchell;Tout Eddy
Tu peux préparer le café noir;Eddy Mitchell;Tout Eddy
Y a rien qui remplace un amour;Eddy Mitchell;Tout Eddy
Ailleurs j'ai vu;Fabulous Trobadors;on the Linka Imaginot
Cançon de la Prima;Fabulous Trobadors;on the Linka Imaginot
Casserilha;Fabulous Trobadors;on the Linka Imaginot
Castan blues;Fabulous Trobadors;on the Linka Imaginot
Des millions d'emplois;Fabulous Trobadors;on the Linka Imaginot
Fais de la politique;Fabulous Trobadors;on the Linka Imaginot
High tençon;Fabulous Trobadors;on the Linka Imaginot
Je ne chante pas mes peines;Fabulous Trobadors;on the Linka Imaginot
L'accent;Fabulous Trobadors;on the Linka Imaginot
L'alh;Fabulous Trobadors;on the Linka Imaginot
Leiçon n°2;Fabulous Trobadors;on the Linka Imaginot
Le plus big défi;Fabulous Trobadors;on the Linka Imaginot
Lo fafa;Fabulous Trobadors;on the Linka Imaginot
L'omelette au pastis;Fabulous Trobadors;on the Linka Imaginot
Naut-Bernat 2;Fabulous Trobadors;on the Linka Imaginot
Naut-Bernat;Fabulous Trobadors;on the Linka Imaginot
On the line;Fabulous Trobadors;on the Linka Imaginot
Prends ton tamboorythme;Fabulous Trobadors;on the Linka Imaginot
Reportage de quartier;Fabulous Trobadors;on the Linka Imaginot
Riu chiu chiu;Fabulous Trobadors;on the Linka Imaginot
Un sage sur la Linka;Fabulous Trobadors;on the Linka Imaginot
Animal;Francis Cabrel;D'une ombre à l'autre
Carte postale;Francis Cabrel;D'une ombre à l'autre
C'est écrit;Francis Cabrel;D'une ombre à l'autre
Dormir debout;Francis Cabrel;D'une ombre à l'autre
Encore et encore;Francis Cabrel;D'une ombre à l'autre
Gitans;Francis Cabrel;D'une ombre à l'autre
C'était l'hiver;Francis Cabrel;D'une ombre à l'autre
Chandelle;Francis Cabrel;D'une ombre à l'autre
Chauffard;Francis Cabrel;D'une ombre à l'autre
Dame d'un soir;Francis Cabrel;D'une ombre à l'autre
Encore et encore;Francis Cabrel;D'une ombre à l'autre
Je te suivrai;Francis Cabrel;D'une ombre à l'autre
La dame de Haute Savoie;Francis Cabrel;D'une ombre à l'autre
La fille qui m'accompagne;Francis Cabrel;D'une ombre à l'autre
Leila et les chasseurs;Francis Cabrel;D'une ombre à l'autre
Petite Marie;Francis Cabrel;D'une ombre à l'autre
Rosie;Francis Cabrel;D'une ombre à l'autre
Sarbacane;Francis Cabrel;D'une ombre à l'autre
Si tu la croises un jour;Francis Cabrel;D'une ombre à l'autre
Tout le monde y pense;Francis Cabrel;D'une ombre à l'autre
Je l'aime à mourir;Francis Cabrel;D'une ombre à l'autre
La dame de haute savoie;Francis Cabrel;D'une ombre à l'autre
La fabrique;Francis Cabrel;D'une ombre à l'autre
Les chevaliers cathares;Francis Cabrel;D'une ombre à l'autre
Les murs de poussière;Francis Cabrel;D'une ombre à l'autre
Lisa;Francis Cabrel;D'une ombre à l'autre
Ma place dans le traffic;Francis Cabrel;D'une ombre à l'autre
Sarbacane;Francis Cabrel;D'une ombre à l'autre
Tourner les hélicos;Francis Cabrel;D'une ombre à l'autre
Une star à sa façon;Francis Cabrel;D'une ombre à l'autre
Je pense encore à toi;Francis Cabrel;D'une ombre à l'autre
Je sais que tu dances;Francis Cabrel;D'une ombre à l'autre
Je te suivrai;Francis Cabrel;D'une ombre à l'autre
L'encre de tes yeux;Francis Cabrel;D'une ombre à l'autre
Le pas des ballerines;Francis Cabrel;D'une ombre à l'autre
Les murs de poussière;Francis Cabrel;D'une ombre à l'autre
Le temps s'en allait;Francis Cabrel;D'une ombre à l'autre
Petite Marie;Francis Cabrel;D'une ombre à l'autre
Petite sirène;Francis Cabrel;D'une ombre à l'autre
Qu'est-ce que je viens de dire;Francis Cabrel;D'une ombre à l'autre
Question d'équilibre;Francis Cabrel;D'une ombre à l'autre
Saïd et Mohamed;Francis Cabrel;D'une ombre à l'autre
Tourner les hélicos;Francis Cabrel;D'une ombre à l'autre
Advance romance;Frank Zappa;Make a jazz noise here
Alien orifice;Frank Zappa;Make a jazz noise here
Big swifty;Frank Zappa;Make a jazz noise here
Black napkins;Frank Zappa;Make a jazz noise here
City of tiny lights;Frank Zappa;Make a jazz noise here
Cruisin' for burgers;Frank Zappa;Make a jazz noise here
Dupree's paradise;Frank Zappa;Make a jazz noise here
Eat that question;Frank Zappa;Make a jazz noise here
Fire and chains;Frank Zappa;Make a jazz noise here
Harry, you're a beast;Frank Zappa;Make a jazz noise here
King kong;Frank Zappa;Make a jazz noise here
Let's make the water turn blac;Frank Zappa;Make a jazz noise here
